X1,X2,X3,X4,X5,X6,node_id,t,community
1.0,0.2,1.0,0.2,1.0,0.4,1.0,1,2
1.0,0.2,1.0,0.2,1.0,0.4,1.0,2,2
1.0,0.2,1.0,0.2,1.0,0.4,1.0,3,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,4,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,5,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,6,2
0.8,0.4,1.0,0.2,0.8,0.4,3.0,7,2
0.4,0.2,0.8,0.2,0.4,0.4,4.0,8,5
0.2,0.2,0.8,0.2,0.4,0.4,5.0,9,5
0.2,0.2,0.6,0.2,0.4,0.4,6.0,10,5
0.4,0.4,0.8,0.2,0.2,0.4,7.0,11,5
0.4,0.4,0.6,0.2,0.4,0.4,8.0,12,5
0.6,0.4,0.6,0.2,0.6,0.4,9.0,13,5
0.6,0.4,0.4,0.2,0.4,0.4,10.0,14,5
0.6,0.4,0.2,0.2,0.4,0.4,11.0,15,5
0.4,0.4,0.2,0.2,0.4,0.4,12.0,16,5
0.4,0.4,0.4,0.2,0.4,0.4,13.0,17,5
0.6,0.6,0.6,0.2,0.6,0.4,14.0,18,2
1.0,0.6,0.8,0.2,1.0,0.6,15.0,19,2
1.0,0.8,1.0,0.2,1.0,0.6,16.0,20,2
1.0,1.0,1.0,0.2,1.0,0.6,17.0,21,2
1.0,1.0,1.0,0.2,1.0,0.8,18.0,22,2
1.0,1.0,1.0,0.4,1.0,1.0,19.0,23,2
1.0,1.0,1.0,0.6,1.0,1.0,20.0,24,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,25,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,26,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,27,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,28,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,29,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,30,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,31,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,32,0
0.8,1.0,1.0,1.0,0.8,1.0,23.0,33,0
0.8,1.0,1.0,1.0,0.8,1.0,23.0,34,0
0.4,1.0,0.8,1.0,0.6,1.0,24.0,35,0
0.4,1.0,0.6,1.0,0.2,1.0,25.0,36,0
0.4,1.0,0.6,1.0,0.2,1.0,25.0,37,0
0.4,1.0,0.6,1.0,0.2,1.0,25.0,38,0
0.6,1.0,0.6,1.0,0.4,1.0,26.0,39,0
0.6,1.0,0.6,1.0,0.8,1.0,27.0,40,0
0.8,1.0,0.6,1.0,1.0,1.0,28.0,41,0
0.8,1.0,0.6,1.0,1.0,1.0,28.0,42,0
0.8,1.0,0.6,1.0,0.8,1.0,29.0,43,0
0.6,1.0,0.6,1.0,0.6,1.0,30.0,44,0
0.4,1.0,0.6,1.0,0.2,0.8,31.0,45,0
0.2,1.0,0.4,1.0,0.2,0.8,32.0,46,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,47,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,48,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,49,3
0.4,1.0,0.4,1.0,0.4,0.8,34.0,50,3
0.6,1.0,0.4,1.0,0.6,0.8,35.0,51,3
0.6,1.0,0.4,1.0,0.6,0.8,35.0,52,3
0.4,0.8,0.2,1.0,0.4,0.8,36.0,53,3
0.4,0.8,0.2,1.0,0.2,0.8,37.0,54,3
0.2,0.6,0.2,0.8,0.2,0.8,38.0,55,3
0.2,0.6,0.4,0.8,0.2,0.8,39.0,56,3
0.2,0.6,0.4,1.0,0.2,0.6,40.0,57,3
0.2,0.6,0.4,1.0,0.2,0.6,40.0,58,3
0.2,0.4,0.2,1.0,0.2,0.6,41.0,59,3
0.2,0.4,0.2,1.0,0.2,0.6,41.0,60,3
0.2,0.4,0.2,1.0,0.2,0.6,41.0,61,3
0.2,0.4,0.2,0.8,0.2,0.6,42.0,62,3
0.2,0.4,0.2,0.8,0.2,0.6,42.0,63,3
0.4,0.4,0.2,0.8,0.2,0.6,43.0,64,3
0.4,0.4,0.2,0.8,0.2,0.6,43.0,65,3
0.4,0.4,0.4,0.8,0.4,0.6,44.0,66,3
0.6,0.4,0.4,1.0,0.4,0.6,45.0,67,3
0.6,0.4,0.4,0.8,0.6,0.6,46.0,68,3
0.6,0.4,0.4,0.8,0.6,0.4,47.0,69,6
0.6,0.4,0.6,0.8,1.0,0.4,48.0,70,6
0.8,0.4,0.6,0.8,1.0,0.2,49.0,71,6
1.0,0.4,0.8,0.6,1.0,0.4,50.0,72,6
1.0,0.6,1.0,0.6,1.0,0.6,51.0,73,0
1.0,0.6,1.0,0.6,1.0,0.6,51.0,74,0
1.0,0.6,1.0,0.6,1.0,0.8,52.0,75,0
1.0,0.8,1.0,0.6,1.0,0.8,53.0,76,0
1.0,0.8,1.0,0.6,1.0,0.8,53.0,77,0
1.0,0.8,1.0,0.6,1.0,1.0,54.0,78,0
1.0,0.8,1.0,0.6,1.0,1.0,54.0,79,0
0.8,0.6,1.0,0.4,0.8,0.8,55.0,80,4
0.6,0.6,1.0,0.4,0.8,0.8,56.0,81,4
0.4,0.6,0.8,0.4,0.6,0.8,57.0,82,4
0.4,0.6,0.6,0.4,0.2,0.6,58.0,83,4
0.4,0.6,0.6,0.4,0.2,0.6,58.0,84,4
0.4,0.6,0.4,0.4,0.2,0.8,59.0,85,4
0.4,0.6,0.4,0.4,0.2,0.8,59.0,86,4
0.4,0.6,0.4,0.4,0.2,0.8,59.0,87,4
0.4,0.6,0.4,0.4,0.2,0.8,59.0,88,4
0.4,0.6,0.4,0.4,0.2,0.6,60.0,89,4
0.6,0.6,0.4,0.4,0.2,0.8,61.0,90,4
0.6,0.6,0.4,0.4,1.0,0.8,62.0,91,4
0.8,0.8,0.6,0.4,1.0,0.8,63.0,92,4
1.0,0.8,0.8,0.6,1.0,1.0,64.0,93,0
1.0,1.0,1.0,0.6,1.0,1.0,20.0,94,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,95,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,96,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,97,0
1.0,1.0,1.0,0.8,0.8,1.0,65.0,98,12
0.8,1.0,1.0,0.8,0.8,0.8,66.0,99,12
0.6,1.0,1.0,0.8,0.8,0.8,67.0,100,12
0.6,0.8,1.0,0.8,0.6,0.8,68.0,101,12
0.4,0.8,0.8,0.8,0.6,0.8,69.0,102,0
0.6,1.0,0.8,0.8,0.4,0.8,70.0,103,0
0.6,1.0,0.8,0.8,0.6,1.0,71.0,104,0
0.8,1.0,0.6,0.8,1.0,1.0,72.0,105,0
0.8,1.0,0.6,1.0,1.0,1.0,28.0,106,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,107,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,108,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,109,0
0.8,1.0,0.8,1.0,0.8,1.0,74.0,110,0
0.6,1.0,0.8,1.0,0.8,1.0,75.0,111,0
0.6,1.0,0.8,1.0,0.6,1.0,76.0,112,0
0.6,1.0,0.8,1.0,0.6,1.0,76.0,113,0
0.6,1.0,0.8,1.0,0.8,1.0,75.0,114,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,115,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,116,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,117,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,118,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,119,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,120,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,121,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,122,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,123,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,124,0
0.8,1.0,1.0,1.0,0.8,1.0,23.0,125,0
0.8,1.0,1.0,1.0,0.8,1.0,23.0,126,0
0.6,1.0,0.8,1.0,0.6,0.8,78.0,127,0
0.4,1.0,0.6,1.0,0.2,0.8,31.0,128,0
0.2,0.8,0.6,1.0,0.2,0.8,79.0,129,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,130,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,131,3
0.2,0.8,0.2,1.0,0.2,0.8,80.0,132,3
0.2,0.8,0.2,1.0,0.2,0.8,80.0,133,3
0.2,0.8,0.2,1.0,0.2,0.8,80.0,134,3
0.4,0.6,0.2,1.0,0.2,0.6,81.0,135,3
0.4,0.6,0.2,0.8,0.2,0.6,82.0,136,3
0.4,0.6,0.2,0.8,0.2,0.6,82.0,137,3
0.4,0.6,0.2,0.8,0.2,0.6,82.0,138,3
0.4,0.6,0.4,0.8,0.2,0.6,83.0,139,3
0.4,0.6,0.4,0.8,0.2,0.6,83.0,140,3
0.4,0.6,0.4,0.8,0.4,0.6,84.0,141,3
0.6,0.6,0.4,0.8,0.6,0.6,85.0,142,3
0.8,0.6,0.6,0.8,1.0,0.6,86.0,143,3
0.8,0.6,0.6,0.8,1.0,0.6,86.0,144,3
0.8,0.6,0.6,0.8,1.0,0.6,86.0,145,3
0.8,0.6,0.8,0.8,1.0,0.6,87.0,146,4
0.8,0.6,0.8,0.8,0.8,0.6,88.0,147,4
0.6,0.6,0.6,0.8,0.6,0.6,89.0,148,4
0.2,0.4,0.4,0.6,0.2,0.4,90.0,149,1
0.2,0.4,0.4,0.6,0.2,0.2,91.0,150,1
0.2,0.2,0.2,0.6,0.2,0.2,92.0,151,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,152,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,153,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,154,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,155,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,156,1
0.2,0.2,0.2,0.4,0.2,0.2,93.0,157,1
0.4,0.2,0.2,0.4,0.2,0.2,94.0,158,1
0.4,0.2,0.2,0.4,0.2,0.2,94.0,159,1
0.2,0.2,0.2,0.2,0.2,0.2,95.0,160,1
0.2,0.2,0.2,0.2,0.2,0.2,95.0,161,1
0.2,0.2,0.2,0.2,0.2,0.2,95.0,162,1
0.2,0.2,0.2,0.2,0.2,0.2,95.0,163,1
0.2,0.2,0.2,0.2,0.2,0.2,95.0,164,1
0.4,0.2,0.2,0.2,0.4,0.2,96.0,165,1
0.6,0.2,0.4,0.2,0.4,0.2,97.0,166,1
0.8,0.2,0.4,0.2,0.8,0.2,98.0,167,1
1.0,0.2,0.4,0.2,1.0,0.2,99.0,168,2
1.0,0.2,0.6,0.2,1.0,0.2,100.0,169,2
1.0,0.2,0.8,0.2,1.0,0.2,101.0,170,2
1.0,0.2,0.8,0.2,1.0,0.2,101.0,171,2
0.8,0.2,1.0,0.2,1.0,0.2,102.0,172,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,173,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,174,2
1.0,0.4,1.0,0.2,1.0,0.4,2.0,175,2
1.0,0.6,1.0,0.2,1.0,0.6,103.0,176,2
1.0,0.6,1.0,0.2,1.0,0.6,103.0,177,2
1.0,0.6,1.0,0.4,1.0,0.6,104.0,178,2
0.8,0.6,1.0,0.4,0.8,0.6,105.0,179,2
0.8,0.6,0.8,0.4,0.8,0.6,106.0,180,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,181,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,182,2
0.6,0.6,0.8,0.4,0.8,0.6,108.0,183,2
0.4,0.6,0.6,0.4,0.4,0.6,109.0,184,4
0.4,0.4,0.6,0.4,0.2,0.4,110.0,185,1
0.2,0.4,0.4,0.4,0.2,0.4,111.0,186,1
0.2,0.4,0.2,0.4,0.2,0.4,112.0,187,1
0.2,0.4,0.2,0.4,0.2,0.4,112.0,188,1
0.4,0.4,0.4,0.4,0.4,0.4,113.0,189,5
0.6,0.6,0.4,0.4,0.6,0.6,114.0,190,5
0.8,0.6,0.6,0.4,0.8,0.6,115.0,191,5
0.8,0.6,0.6,0.4,1.0,0.6,116.0,192,5
1.0,0.6,0.6,0.4,1.0,0.6,117.0,193,2
1.0,0.8,0.8,0.4,1.0,0.8,118.0,194,2
1.0,0.8,1.0,0.4,1.0,0.8,119.0,195,2
1.0,1.0,1.0,0.4,1.0,1.0,19.0,196,2
1.0,1.0,1.0,0.6,1.0,1.0,20.0,197,0
1.0,1.0,1.0,0.6,1.0,1.0,20.0,198,0
1.0,1.0,1.0,0.6,1.0,1.0,20.0,199,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,200,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,201,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,202,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,203,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,204,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,205,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,206,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,207,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,208,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,209,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,210,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,211,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,212,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,213,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,214,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,215,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,216,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,217,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,218,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,219,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,220,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,221,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,222,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,223,0
0.6,1.0,0.8,1.0,0.8,1.0,75.0,224,0
0.6,1.0,0.8,1.0,0.6,1.0,76.0,225,0
0.4,1.0,0.6,1.0,0.2,1.0,25.0,226,0
0.4,1.0,0.4,1.0,0.2,1.0,121.0,227,0
0.4,1.0,0.4,1.0,0.2,1.0,121.0,228,0
0.4,1.0,0.4,1.0,0.2,0.8,122.0,229,3
0.4,1.0,0.4,1.0,0.2,0.8,122.0,230,3
0.4,0.8,0.4,1.0,0.2,0.8,123.0,231,3
0.2,0.8,0.4,1.0,0.2,0.8,33.0,232,3
0.2,0.8,0.2,1.0,0.2,0.8,80.0,233,3
0.4,0.8,0.2,1.0,0.2,0.8,37.0,234,3
0.2,0.8,0.2,1.0,0.2,0.8,80.0,235,3
0.2,0.6,0.2,1.0,0.2,0.8,124.0,236,3
0.2,0.6,0.2,1.0,0.2,0.6,125.0,237,3
0.2,0.4,0.2,1.0,0.2,0.6,41.0,238,3
0.2,0.4,0.2,0.8,0.2,0.6,42.0,239,3
0.2,0.4,0.2,0.8,0.2,0.4,126.0,240,3
0.2,0.4,0.2,0.8,0.2,0.4,126.0,241,3
0.2,0.4,0.2,0.8,0.2,0.4,126.0,242,3
0.4,0.4,0.2,0.8,0.2,0.4,127.0,243,3
0.4,0.4,0.2,0.8,0.4,0.4,128.0,244,3
0.6,0.4,0.2,0.8,0.4,0.4,129.0,245,3
0.8,0.4,0.4,0.8,0.6,0.4,130.0,246,3
0.8,0.4,0.6,0.6,1.0,0.4,131.0,247,1
0.8,0.4,0.6,0.6,1.0,0.4,131.0,248,1
0.8,0.4,0.8,0.6,1.0,0.4,132.0,249,6
1.0,0.4,1.0,0.8,1.0,0.4,133.0,250,6
0.8,0.4,0.8,0.6,1.0,0.4,132.0,251,6
0.8,0.4,0.8,0.6,0.8,0.4,134.0,252,6
0.6,0.4,0.8,0.6,0.8,0.4,135.0,253,6
0.6,0.4,0.8,0.6,0.8,0.4,135.0,254,6
0.6,0.4,0.8,0.6,0.8,0.4,135.0,255,6
0.4,0.4,0.6,0.6,0.4,0.4,136.0,256,4
0.4,0.4,0.6,0.6,0.2,0.4,137.0,257,1
0.4,0.4,0.4,0.6,0.2,0.2,138.0,258,1
0.4,0.4,0.4,0.6,0.2,0.2,138.0,259,1
0.4,0.4,0.4,0.6,0.2,0.2,138.0,260,1
0.6,0.4,0.4,0.6,0.4,0.4,139.0,261,1
0.6,0.4,0.6,0.6,0.6,0.4,140.0,262,1
0.6,0.4,0.6,0.4,0.8,0.4,141.0,263,1
0.8,0.4,0.6,0.4,1.0,0.4,142.0,264,1
0.8,0.4,0.6,0.4,1.0,0.4,142.0,265,1
0.8,0.4,0.6,0.4,1.0,0.4,142.0,266,1
0.8,0.6,0.8,0.4,1.0,0.4,143.0,267,5
0.8,0.6,0.8,0.4,1.0,0.6,107.0,268,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,269,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,270,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,271,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,272,2
0.8,0.6,0.8,0.4,1.0,0.6,107.0,273,2
0.8,0.6,0.8,0.4,1.0,0.8,144.0,274,5
0.6,0.6,0.8,0.4,1.0,0.8,145.0,275,4
0.8,0.6,0.8,0.4,1.0,0.8,144.0,276,5
0.8,0.8,0.8,0.4,1.0,1.0,146.0,277,5
0.8,0.8,0.8,0.6,1.0,1.0,147.0,278,0
1.0,0.8,0.8,0.6,1.0,1.0,64.0,279,0
1.0,0.8,1.0,0.6,1.0,1.0,54.0,280,0
1.0,0.8,1.0,0.6,1.0,1.0,54.0,281,0
1.0,0.8,1.0,0.6,1.0,1.0,54.0,282,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,283,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,284,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,285,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,286,0
1.0,1.0,1.0,0.8,1.0,1.0,21.0,287,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,288,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,289,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,290,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,291,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,292,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,293,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,294,0
0.6,1.0,0.8,1.0,1.0,1.0,148.0,295,0
0.6,1.0,0.6,1.0,0.8,1.0,27.0,296,0
0.6,0.8,0.6,0.8,0.6,1.0,149.0,297,0
0.4,0.8,0.6,0.8,0.2,1.0,150.0,298,0
0.4,0.8,0.4,0.8,0.2,0.8,151.0,299,3
0.4,0.8,0.4,0.8,0.2,0.8,151.0,300,3
0.4,0.8,0.4,0.8,0.2,0.8,151.0,301,3
0.4,0.8,0.4,0.8,0.2,0.8,151.0,302,3
0.4,0.8,0.4,0.8,0.2,0.8,151.0,303,3
0.6,0.8,0.4,0.8,0.6,0.8,152.0,304,3
0.8,0.8,0.6,0.8,1.0,1.0,153.0,305,0
0.8,0.8,0.6,1.0,1.0,1.0,154.0,306,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,307,0
1.0,1.0,0.8,1.0,1.0,1.0,73.0,308,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,309,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,310,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,311,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,312,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,313,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,314,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,315,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,316,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,317,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,318,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,319,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,320,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,321,0
0.8,1.0,0.8,1.0,1.0,1.0,77.0,322,0
1.0,1.0,1.0,1.0,1.0,1.0,22.0,323,0
0.8,1.0,1.0,1.0,1.0,1.0,120.0,324,0
