X1,X2,X3,X4,X5,X6,node_id,t,community,cp,cpj
1.0,0.2,1.0,0.2,1.0,0.4,1.0,1,2,3145.600098,3001.360058799998
1.0,0.2,1.0,0.2,1.0,0.4,1.0,2,2,3361.199951,3077.380029399999
1.0,0.2,1.0,0.2,1.0,0.4,1.0,3,2,3372.3000490000004,3177.820019599999
1.0,0.4,1.0,0.2,1.0,0.4,2.0,4,2,3255.800049,3227.7600097999994
1.0,0.4,1.0,0.2,1.0,0.4,2.0,5,2,3198.199951,3266.6200195999986
1.0,0.4,1.0,0.2,1.0,0.4,2.0,6,2,3125.5,3262.5999999999995
0.8,0.4,1.0,0.2,0.8,0.4,3.0,7,2,2979.0,3186.1600097999994
0.4,0.2,0.8,0.2,0.4,0.4,4.0,8,5,2893.5,3090.3999999999987
0.2,0.2,0.8,0.2,0.4,0.4,5.0,9,5,3125.100098,3064.2600097999994
0.2,0.2,0.6,0.2,0.4,0.4,6.0,10,5,3180.300049,3060.6800293999986
0.4,0.4,0.8,0.2,0.2,0.4,7.0,11,5,3254.600098,3086.5000489999993
0.4,0.4,0.6,0.2,0.4,0.4,8.0,12,5,3203.0,3131.3000489999986
0.6,0.4,0.6,0.2,0.6,0.4,9.0,13,5,3114.100098,3175.4200685999986
0.6,0.4,0.4,0.2,0.4,0.4,10.0,14,5,3017.800049,3153.9600587999994
0.6,0.4,0.2,0.2,0.4,0.4,11.0,15,5,3020.800049,3122.0600588
0.4,0.4,0.2,0.2,0.4,0.4,12.0,16,5,3113.100098,3093.7600588000005
0.4,0.4,0.4,0.2,0.4,0.4,13.0,17,5,3193.899902,3091.9400392
0.6,0.6,0.6,0.2,0.6,0.4,14.0,18,2,3330.699951,3135.2600098000007
1.0,0.6,0.8,0.2,1.0,0.6,15.0,19,2,3384.3000490000004,3208.5600098000004
1.0,0.8,1.0,0.2,1.0,0.6,16.0,20,2,3512.899902,3306.9799804000004
1.0,1.0,1.0,0.2,1.0,0.6,17.0,21,2,3699.100098,3424.1799803999997
1.0,1.0,1.0,0.2,1.0,0.8,18.0,22,2,3825.899902,3550.5799804000007
1.0,1.0,1.0,0.4,1.0,1.0,19.0,23,2,3851.100098,3654.6600098
1.0,1.0,1.0,0.6,1.0,1.0,20.0,24,0,3813.699951,3740.5399901999995
1.0,1.0,1.0,0.8,1.0,1.0,21.0,25,0,3861.5,3810.2600098
1.0,1.0,1.0,0.8,1.0,1.0,21.0,26,0,3976.0,3865.6399901999994
1.0,1.0,1.0,1.0,1.0,1.0,22.0,27,0,4043.899902,3909.2399902
1.0,1.0,1.0,1.0,1.0,1.0,22.0,28,0,4008.199951,3940.6599608
1.0,1.0,1.0,1.0,1.0,1.0,22.0,29,0,3914.199951,3960.7599608
1.0,1.0,1.0,1.0,1.0,1.0,22.0,30,0,4065.399902,4001.5399412
1.0,1.0,1.0,1.0,1.0,1.0,22.0,31,0,4050.399902,4016.4199215999997
1.0,1.0,1.0,1.0,1.0,1.0,22.0,32,0,3951.100098,3997.8599608
0.8,1.0,1.0,1.0,0.8,1.0,23.0,33,0,3998.300049,3995.8799803999996
0.8,1.0,1.0,1.0,0.8,1.0,23.0,34,0,3894.0,3991.839990200001
0.4,1.0,0.8,1.0,0.6,1.0,24.0,35,0,3835.100098,3945.7800294
0.4,1.0,0.6,1.0,0.2,1.0,25.0,36,0,3964.399902,3928.5800294
0.4,1.0,0.6,1.0,0.2,1.0,25.0,37,0,4008.100098,3939.9800294
0.4,1.0,0.6,1.0,0.2,1.0,25.0,38,0,3950.0,3930.3200196000003
0.6,1.0,0.6,1.0,0.4,1.0,26.0,39,0,4033.699951,3958.2600098
0.6,1.0,0.6,1.0,0.8,1.0,27.0,40,0,4048.699951,4000.9799804
0.8,1.0,0.6,1.0,1.0,1.0,28.0,41,0,4099.600098,4028.0200195999987
0.8,1.0,0.6,1.0,1.0,1.0,28.0,42,0,4019.0,4030.2
0.8,1.0,0.6,1.0,0.8,1.0,29.0,43,0,3905.0,4021.2
0.6,1.0,0.6,1.0,0.6,1.0,30.0,44,0,3896.300049,3993.7200196000003
0.4,1.0,0.6,1.0,0.2,0.8,31.0,45,0,3706.800049,3925.3400392
0.2,1.0,0.4,1.0,0.2,0.8,32.0,46,3,3720.600098,3849.5400391999997
0.2,0.8,0.4,1.0,0.2,0.8,33.0,47,3,3773.600098,3800.4600588
0.2,0.8,0.4,1.0,0.2,0.8,33.0,48,3,3966.5,3812.7600588
0.2,0.8,0.4,1.0,0.2,0.8,33.0,49,3,4062.800049,3846.0600587999998
0.4,1.0,0.4,1.0,0.4,0.8,34.0,50,3,3933.300049,3891.3600588
0.6,1.0,0.4,1.0,0.6,0.8,35.0,51,3,3808.199951,3908.8800294
0.6,1.0,0.4,1.0,0.6,0.8,35.0,52,3,3818.5,3917.8600098000006
0.4,0.8,0.2,1.0,0.4,0.8,36.0,53,3,3670.699951,3858.7
0.4,0.8,0.2,1.0,0.2,0.8,37.0,54,3,3704.800049,3787.1
0.2,0.6,0.2,0.8,0.2,0.8,38.0,55,3,3789.300049,3758.3
0.2,0.6,0.4,0.8,0.2,0.8,39.0,56,3,3665.0,3729.6600098
0.2,0.6,0.4,1.0,0.2,0.6,40.0,57,3,3717.899902,3709.5399902
0.2,0.6,0.4,1.0,0.2,0.6,40.0,58,3,3696.100098,3714.6200196
0.2,0.4,0.2,1.0,0.2,0.6,41.0,59,3,3576.899902,3689.0399902
0.2,0.4,0.2,1.0,0.2,0.6,41.0,60,3,3631.600098,3657.5
0.2,0.4,0.2,1.0,0.2,0.6,41.0,61,3,3598.8000490000004,3644.2600098
0.2,0.4,0.2,0.8,0.2,0.6,42.0,62,3,3585.600098,3617.8000490000004
0.2,0.4,0.2,0.8,0.2,0.6,42.0,63,3,3537.0,3585.9800294
0.4,0.4,0.2,0.8,0.2,0.6,43.0,64,3,3661.300049,3602.8600588
0.4,0.4,0.2,0.8,0.2,0.6,43.0,65,3,3661.300049,3608.800049
0.4,0.4,0.4,0.8,0.4,0.6,44.0,66,3,3678.0,3624.6400392000014
0.6,0.4,0.4,1.0,0.4,0.6,45.0,67,3,3603.399902,3628.200000000001
0.6,0.4,0.4,0.8,0.6,0.6,46.0,68,3,3594.399902,3639.679980400001
0.6,0.4,0.4,0.8,0.6,0.4,47.0,69,6,3633.600098,3634.1399902
0.6,0.4,0.6,0.8,1.0,0.4,48.0,70,6,3700.300049,3641.9399902000014
0.8,0.4,0.6,0.8,1.0,0.2,49.0,71,6,3821.0,3670.5399902
1.0,0.4,0.8,0.6,1.0,0.4,50.0,72,6,3961.699951,3742.2
1.0,0.6,1.0,0.6,1.0,0.6,51.0,73,0,3958.399902,3815.0
1.0,0.6,1.0,0.6,1.0,0.6,51.0,74,0,3889.199951,3866.1199706
1.0,0.6,1.0,0.6,1.0,0.8,52.0,75,0,4026.5,3931.3599608
1.0,0.8,1.0,0.6,1.0,0.8,53.0,76,0,4007.5,3968.6599608
1.0,0.8,1.0,0.6,1.0,0.8,53.0,77,0,4026.800049,3981.6799803999997
1.0,0.8,1.0,0.6,1.0,1.0,54.0,78,0,4016.100098,3993.2200196000003
1.0,0.8,1.0,0.6,1.0,1.0,54.0,79,0,3919.199951,3999.2200196000003
0.8,0.6,1.0,0.4,0.8,0.8,55.0,80,4,3829.399902,3959.8
0.6,0.6,1.0,0.4,0.8,0.8,56.0,81,4,3939.0,3946.1
0.4,0.6,0.8,0.4,0.6,0.8,57.0,82,4,3862.399902,3913.2199706
0.4,0.6,0.6,0.4,0.2,0.6,58.0,83,4,3899.699951,3889.9399412000002
0.4,0.6,0.6,0.4,0.2,0.6,58.0,84,4,3917.899902,3889.6799314
0.4,0.6,0.4,0.4,0.2,0.8,59.0,85,4,3878.800049,3899.5599608
0.4,0.6,0.4,0.4,0.2,0.8,59.0,86,4,3912.899902,3894.3399412000012
0.4,0.6,0.4,0.4,0.2,0.8,59.0,87,4,3888.399902,3899.539941200001
0.4,0.6,0.4,0.4,0.2,0.8,59.0,88,4,3877.5,3895.099951000001
0.4,0.6,0.4,0.4,0.2,0.6,60.0,89,4,3870.800049,3885.679980400001
0.6,0.6,0.4,0.4,0.2,0.8,61.0,90,4,3918.5,3893.619970600001
0.6,0.6,0.4,0.4,1.0,0.8,62.0,91,4,4025.5,3916.1399902
0.8,0.8,0.6,0.4,1.0,0.8,63.0,92,4,4200.399902,3978.5399902
1.0,0.8,0.8,0.6,1.0,1.0,64.0,93,0,4393.899902,4081.8199706000014
1.0,1.0,1.0,0.6,1.0,1.0,20.0,94,0,4310.799805,4169.8199218
1.0,1.0,1.0,0.8,1.0,1.0,21.0,95,0,4279.799805,4242.0798828
1.0,1.0,1.0,0.8,1.0,1.0,21.0,96,0,4337.0,4304.3798828
1.0,1.0,1.0,0.8,1.0,1.0,21.0,97,0,4193.0,4302.8999024
1.0,1.0,1.0,0.8,0.8,1.0,65.0,98,12,4081.199951,4240.3599122000005
0.8,1.0,1.0,0.8,0.8,0.8,66.0,99,12,4156.399902,4209.4799316
0.6,1.0,1.0,0.8,0.8,0.8,67.0,100,12,4223.299805,4198.1799316
0.6,0.8,1.0,0.8,0.6,0.8,68.0,101,12,4229.200195,4176.6199706
0.4,0.8,0.8,0.8,0.6,0.8,69.0,102,0,4235.399902,4185.099951
0.6,1.0,0.8,0.8,0.4,0.8,70.0,103,0,4299.0,4228.6599608000015
0.6,1.0,0.8,0.8,0.6,1.0,71.0,104,0,4305.600098,4258.5
0.8,1.0,0.6,0.8,1.0,1.0,72.0,105,0,4471.200195,4308.080078000001
0.8,1.0,0.6,1.0,1.0,1.0,28.0,106,0,4445.0,4351.240039
1.0,1.0,0.8,1.0,1.0,1.0,73.0,107,0,4459.200195,4396.0000976
1.0,1.0,0.8,1.0,1.0,1.0,73.0,108,0,4515.0,4439.2000976
1.0,1.0,1.0,1.0,1.0,1.0,22.0,109,0,4367.799805,4451.640039
0.8,1.0,0.8,1.0,0.8,1.0,74.0,110,0,4236.100098,4404.6200196
0.6,1.0,0.8,1.0,0.8,1.0,75.0,111,0,4310.5,4377.7200195999985
0.6,1.0,0.8,1.0,0.6,1.0,76.0,112,0,4450.0,4375.8799806
0.6,1.0,0.8,1.0,0.6,1.0,76.0,113,0,4520.200195,4376.9200196
0.6,1.0,0.8,1.0,0.8,1.0,75.0,114,0,4563.100098,4415.9800782
0.8,1.0,0.8,1.0,1.0,1.0,77.0,115,0,4550.0,4478.7600586
0.8,1.0,0.8,1.0,1.0,1.0,77.0,116,0,4531.600098,4522.9800782
1.0,1.0,0.8,1.0,1.0,1.0,73.0,117,0,4638.600098,4560.7000978
1.0,1.0,0.8,1.0,1.0,1.0,73.0,118,0,4703.700195,4597.4000978
1.0,1.0,0.8,1.0,1.0,1.0,73.0,119,0,4737.399902,4632.2600586
1.0,1.0,1.0,1.0,1.0,1.0,22.0,120,0,4810.5,4684.3600586
1.0,1.0,1.0,1.0,1.0,1.0,22.0,121,0,4801.799805,4738.4
1.0,1.0,1.0,1.0,1.0,1.0,22.0,122,0,4851.399902,4780.959960800001
