hash,node_id
1.00.21.00.21.00.4,1
1.00.41.00.21.00.4,2
0.80.41.00.20.80.4,3
0.40.20.80.20.40.4,4
0.20.20.80.20.40.4,5
0.20.20.60.20.40.4,6
0.40.40.80.20.20.4,7
0.40.40.60.20.40.4,8
0.60.40.60.20.60.4,9
0.60.40.40.20.40.4,10
0.60.40.20.20.40.4,11
0.40.40.20.20.40.4,12
0.40.40.40.20.40.4,13
0.60.60.60.20.60.4,14
1.00.60.80.21.00.6,15
1.00.81.00.21.00.6,16
1.01.01.00.21.00.6,17
1.01.01.00.21.00.8,18
1.01.01.00.41.01.0,19
1.01.01.00.61.01.0,20
1.01.01.00.81.01.0,21
1.01.01.01.01.01.0,22
0.81.01.01.00.81.0,23
0.41.00.81.00.61.0,24
0.41.00.61.00.21.0,25
0.61.00.61.00.41.0,26
0.61.00.61.00.81.0,27
0.81.00.61.01.01.0,28
0.81.00.61.00.81.0,29
0.61.00.61.00.61.0,30
0.41.00.61.00.20.8,31
0.21.00.41.00.20.8,32
0.20.80.41.00.20.8,33
0.41.00.41.00.40.8,34
0.61.00.41.00.60.8,35
0.40.80.21.00.40.8,36
0.40.80.21.00.20.8,37
0.20.60.20.80.20.8,38
0.20.60.40.80.20.8,39
0.20.60.41.00.20.6,40
0.20.40.21.00.20.6,41
0.20.40.20.80.20.6,42
0.40.40.20.80.20.6,43
0.40.40.40.80.40.6,44
0.60.40.41.00.40.6,45
0.60.40.40.80.60.6,46
0.60.40.40.80.60.4,47
0.60.40.60.81.00.4,48
0.80.40.60.81.00.2,49
1.00.40.80.61.00.4,50
1.00.61.00.61.00.6,51
1.00.61.00.61.00.8,52
1.00.81.00.61.00.8,53
1.00.81.00.61.01.0,54
0.80.61.00.40.80.8,55
0.60.61.00.40.80.8,56
0.40.60.80.40.60.8,57
0.40.60.60.40.20.6,58
0.40.60.40.40.20.8,59
0.40.60.40.40.20.6,60
0.60.60.40.40.20.8,61
0.60.60.40.41.00.8,62
0.80.80.60.41.00.8,63
1.00.80.80.61.01.0,64
1.01.01.00.80.81.0,65
0.81.01.00.80.80.8,66
0.61.01.00.80.80.8,67
0.60.81.00.80.60.8,68
0.40.80.80.80.60.8,69
0.61.00.80.80.40.8,70
0.61.00.80.80.61.0,71
0.81.00.60.81.01.0,72
1.01.00.81.01.01.0,73
0.81.00.81.00.81.0,74
0.61.00.81.00.81.0,75
0.61.00.81.00.61.0,76
0.81.00.81.01.01.0,77
0.61.00.81.00.60.8,78
0.20.80.61.00.20.8,79
0.20.80.21.00.20.8,80
0.40.60.21.00.20.6,81
0.40.60.20.80.20.6,82
0.40.60.40.80.20.6,83
0.40.60.40.80.40.6,84
0.60.60.40.80.60.6,85
0.80.60.60.81.00.6,86
0.80.60.80.81.00.6,87
0.80.60.80.80.80.6,88
0.60.60.60.80.60.6,89
0.20.40.40.60.20.4,90
0.20.40.40.60.20.2,91
0.20.20.20.60.20.2,92
0.20.20.20.40.20.2,93
0.40.20.20.40.20.2,94
0.20.20.20.20.20.2,95
0.40.20.20.20.40.2,96
0.60.20.40.20.40.2,97
0.80.20.40.20.80.2,98
1.00.20.40.21.00.2,99
1.00.20.60.21.00.2,100
1.00.20.80.21.00.2,101
0.80.21.00.21.00.2,102
1.00.61.00.21.00.6,103
1.00.61.00.41.00.6,104
0.80.61.00.40.80.6,105
0.80.60.80.40.80.6,106
0.80.60.80.41.00.6,107
0.60.60.80.40.80.6,108
0.40.60.60.40.40.6,109
0.40.40.60.40.20.4,110
0.20.40.40.40.20.4,111
0.20.40.20.40.20.4,112
0.40.40.40.40.40.4,113
0.60.60.40.40.60.6,114
0.80.60.60.40.80.6,115
0.80.60.60.41.00.6,116
1.00.60.60.41.00.6,117
1.00.80.80.41.00.8,118
1.00.81.00.41.00.8,119
0.81.01.01.01.01.0,120
0.41.00.41.00.21.0,121
0.41.00.41.00.20.8,122
0.40.80.41.00.20.8,123
0.20.60.21.00.20.8,124
0.20.60.21.00.20.6,125
0.20.40.20.80.20.4,126
0.40.40.20.80.20.4,127
0.40.40.20.80.40.4,128
0.60.40.20.80.40.4,129
0.80.40.40.80.60.4,130
0.80.40.60.61.00.4,131
0.80.40.80.61.00.4,132
1.00.41.00.81.00.4,133
0.80.40.80.60.80.4,134
0.60.40.80.60.80.4,135
0.40.40.60.60.40.4,136
0.40.40.60.60.20.4,137
0.40.40.40.60.20.2,138
0.60.40.40.60.40.4,139
0.60.40.60.60.60.4,140
0.60.40.60.40.80.4,141
0.80.40.60.41.00.4,142
0.80.60.80.41.00.4,143
0.80.60.80.41.00.8,144
0.60.60.80.41.00.8,145
0.80.80.80.41.01.0,146
0.80.80.80.61.01.0,147
0.61.00.81.01.01.0,148
0.60.80.60.80.61.0,149
0.40.80.60.80.21.0,150
0.40.80.40.80.20.8,151
0.60.80.40.80.60.8,152
0.80.80.60.81.01.0,153
0.80.80.61.01.01.0,154
0.41.00.61.00.40.8,155
0.40.80.61.00.20.8,156
0.20.80.40.80.20.8,157
0.20.60.20.80.20.6,158
0.80.80.40.80.80.8,159
0.80.80.60.81.00.8,160
0.80.60.60.81.00.8,161
0.60.60.60.80.80.8,162
0.60.60.80.80.80.8,163
