date,d,t,cp,cpj,f1,f2,f3,f4,f5,f6,z1,z2,z3,z4,z5,z6,fz1,fz2,fz3,fz4,fz5,fz6,X1,X2,X3,X4,X5,X6
3/23/1995,55,1,3145.600098,3001.360058799998,0.06753133329961258,-0.10926299420751406,0.01468379505191697,-0.006163481389683811,1.0,0.32405600811603114,2.362947223522369,-1.6459334249841207,2.6085742659590467,-2.499761051228911,0.9901804175341706,-0.7107036899582553,0.9909348743440989,0.049888733200330077,0.9954539859856584,0.0062138549428537165,0.8389570288559127,0.2386339362951274,1.0,0.2,1.0,0.2,1.0,0.4
3/24/1995,56,2,3361.1999509999996,3077.3800293999984,0.07382181711463098,-0.08215742160067985,0.019322099048015406,-0.004951321533108621,1.0,0.37269509435128195,2.5927643860838,-1.288699510507746,3.468421534100449,-2.0494152386605515,0.9901804175341706,-0.5814094972482942,0.9952396014387608,0.0987512863677123,0.9997382373069309,0.020210764198383833,0.8389570288559127,0.28048224906205976,1.0,0.2,1.0,0.2,1.0,0.4
3/27/1995,57,3,3372.3000490000004,3177.820019599999,0.08305949461008932,-0.04897771750285729,0.023830528139778373,-0.0033890063855670505,1.0,0.4369585938797276,2.930254616262162,-0.8514124718622519,4.304192635223279,-1.4689785241538116,0.9901804175341706,-0.4105819193604198,0.9983065781641753,0.19727013303454638,0.999991620210433,0.07091930715189963,0.8389570288559127,0.34068956189360433,1.0,0.2,1.0,0.2,1.0,0.4
3/28/1995,58,4,3255.800049,3227.7600097999994,0.07614312431085346,-0.031572012067605404,0.0222431725729777,-0.0025404326599585136,1.0,0.468911190950653,2.677571254515067,-0.6220165326194853,4.009929182713332,-1.1537134855449112,0.9901804175341706,-0.32564436063881186,0.9962920961439541,0.2669654985152821,0.99996963151936,0.12430882662729259,0.8389570288559127,0.3723467225491859,1.0,0.4,1.0,0.2,1.0,0.4
3/29/1995,59,5,3198.199951,3266.620019599999,0.0685684010161629,-0.01787157456460886,0.019213319520799965,-0.002078374639827296,1.0,0.4937745966169118,2.4008355588253925,-0.44145362807489075,3.448256021149037,-0.9820480955379846,0.9901804175341706,-0.25955154902448957,0.9918211572712738,0.3294423127228099,0.9997178905251773,0.16303807721736557,0.8389570288559127,0.3976048569593212,1.0,0.4,1.0,0.2,1.0,0.4
3/30/1995,60,6,3125.5,3262.5999999999995,0.05443667030355459,-0.016681627041453262,0.012155032658924592,-0.0024392811192787134,0.9873033329258788,0.49120250827685424,1.8845455007061718,-0.4257708894039814,2.1397931258651264,-1.1161333161201532,0.9609885832919086,-0.26638876804414763,0.9702543868924031,0.3351374005017332,0.9838142554994896,0.13218253655961176,0.8317210458741228,0.39496990730727966,1.0,0.4,1.0,0.2,1.0,0.4
3/31/1995,61,7,2979.0,3186.1600097999994,0.02193226904083212,-0.03642189932440798,0.0076324350536312036,-0.0034227169117908574,0.7115508258879996,0.44229468516386405,0.697026465823286,-0.6859349096501863,1.3013954703674637,-1.4815027751773198,0.3269858619206306,-0.3963973269223105,0.7571068844119383,0.24637707752822147,0.9034384383469856,0.06923632297351928,0.6281607107384025,0.34590596886997405,0.8,0.4,1.0,0.2,0.8,0.4
4/3/1995,62,8,2893.5,3090.399999999999,-0.011968664704187448,-0.06054350426662847,0.0032253721932857804,-0.005150558898815882,0.36825114436388334,0.38102552999596323,-0.5415136259360417,-1.0038420604029965,0.4844156078610506,-2.123436592252416,-0.46231949986991316,-0.5592652294388231,0.2940768041865557,0.1577273737044383,0.6859545281060422,0.01685864180326024,0.32192610895233864,0.2879903607944493,0.4,0.2,0.8,0.2,0.4,0.4
4/4/1995,63,9,3125.100098,3064.2600097999994,-0.02271859183815439,-0.06282869431393368,0.0024483374414814296,-0.006040682846340739,0.2393624370235771,0.3657609462955408,-0.9342525351074007,-1.0339593871151969,0.3403691613254397,-2.4541385126799975,-0.7586569369636595,-0.5998421024716348,0.17508682102159007,0.15057757495043173,0.6332107302675081,0.007061128628110226,0.22402890172970868,0.2743057355834704,0.2,0.2,0.8,0.2,0.4,0.4
4/5/1995,64,10,3180.300049,3060.680029399999,-0.025727800677939783,-0.058215320006786975,0.0019167633439292064,-0.006061123445432415,0.22362956859790326,0.375099487738567,-1.0441912707358352,-0.9731580977791722,0.24182613008395953,-2.4617326745864423,-0.7948295234035835,-0.5750180510672825,0.14819845242023794,0.16523736640375314,0.5955425545765036,0.006913384051242023,0.21335633738393806,0.28263954447098183,0.2,0.2,0.6,0.2,0.4,0.4
